transaction_id,customer_id,amount,account_age_days,transactions_1h,transactions_24h,failed_attempts_24h,hour,device_age_days,is_fraud
TXN000000,861,1203.62,994,0,4,0,14,347,0
TXN000001,1295,103.84,168,4,1,0,6,521,0
TXN000002,1131,3932.49,284,0,8,0,0,58,0
TXN000003,1096,768.82,494,2,6,2,1,534,0
TXN000004,1639,102.24,36,0,2,1,19,376,0
TXN000005,2170,265.55,824,1,7,0,3,530,0
TXN000006,467,3118.46,175,3,2,1,10,424,0
TXN000007,1239,7605.02,199,0,8,2,13,694,0
TXN000008,331,1123.84,116,3,6,0,19,913,0
TXN000009,1483,337.49,936,2,5,0,8,728,0
TXN000010,2136,199.36,315,1,6,1,5,340,0
TXN000011,2920,5988.15,939,1,5,0,19,104,0
TXN000012,131,1880.63,220,0,6,1,18,261,0
TXN000013,1686,737.92,891,1,2,0,8,898,0
TXN000014,770,554.5,578,1,2,3,20,887,0
TXN000015,2392,2455.77,777,0,10,0,7,654,0
TXN000016,1516,2376.02,134,0,5,0,15,715,0
TXN000017,2854,373.94,631,0,6,0,0,398,0
TXN000018,2434,278.43,122,1,4,2,11,770,0
TXN000019,1216,295.81,833,1,4,0,3,982,0
TXN000020,956,625.24,899,1,10,0,7,310,0
TXN000021,2325,479.27,970,3,4,0,15,982,0
TXN000022,1185,7644.26,421,2,5,1,17,281,0
TXN000023,460,599.12,895,2,6,0,11,875,0
TXN000024,22,244.79,492,5,3,1,7,522,0
TXN000025,2301,261.86,599,1,3,2,8,480,0
TXN000026,748,879.39,289,1,2,1,14,709,0
TXN000027,2905,123.16,649,0,6,0,20,975,0
TXN000028,475,1020.3,53,2,10,0,8,743,0
TXN000029,1083,220.64,205,1,7,1,22,839,0
TXN000030,2559,4404.28,348,1,6,1,11,463,0
TXN000031,2048,1261.27,51,2,5,0,4,35,0
TXN000032,2748,13977.84,839,2,6,1,23,962,0
TXN000033,976,833.94,922,2,9,1,4,973,0
TXN000034,1807,25.58,912,1,5,0,12,439,0
TXN000035,190,6305.75,40,1,7,0,2,459,0
TXN000036,2735,2002.81,250,1,8,0,3,397,0
TXN000037,563,2412.19,218,3,1,0,22,923,0
TXN000038,1900,329.28,179,3,3,1,16,965,0
TXN000039,1268,1041.67,551,3,5,1,17,197,0
TXN000040,2880,1371.63,183,2,6,0,11,850,0
TXN000041,1529,824.37,736,0,5,1,20,376,0
TXN000042,647,136.83,164,4,6,0,20,244,0
TXN000043,2069,30407.07,746,2,3,3,22,400,0
TXN000044,2889,2989.9,377,2,3,2,10,845,0
TXN000045,2215,1816.56,705,3,5,0,23,126,0
TXN000046,1298,5306.37,497,2,1,1,7,90,0
TXN000047,2436,2375.66,597,4,6,2,6,82,0
TXN000048,601,486.56,461,2,7,1,22,819,0
TXN000049,2364,4913.49,755,5,7,0,3,94,0
TXN000050,2062,3049.28,474,3,5,0,19,858,0
TXN000051,242,509.21,685,2,6,1,15,214,0
TXN000052,2042,2829.96,905,0,7,1,18,504,0
TXN000053,2825,821.65,37,1,6,0,18,902,1
TXN000054,2613,1408.35,599,1,8,1,20,921,0
TXN000055,2946,2252.01,641,1,3,0,23,693,0
TXN000056,1364,5665.77,706,1,7,0,6,456,0
